experiment_id,dataset,method,split_index,alpha,empirical
e2_uci,yacht,gp,7,0.8,0.8064516129032258
e2_uci,yacht,gp,7,0.8500000000000001,0.9032258064516128
e2_uci,yacht,gp,7,0.9000000000000001,0.935483870967742
e2_uci,yacht,gp,7,0.95,0.935483870967742
e2_uci,yacht,gp,8,0.05,0.064516129032258
e2_uci,yacht,gp,8,0.1,0.1290322580645161
e2_uci,yacht,gp,8,0.15,0.1935483870967742
e2_uci,yacht,gp,8,0.2,0.2258064516129032
e2_uci,yacht,gp,8,0.25,0.2903225806451613
e2_uci,yacht,gp,8,0.3,0.2903225806451613
e2_uci,yacht,gp,8,0.35,0.3870967741935484
e2_uci,yacht,gp,8,0.4,0.3870967741935484
e2_uci,yacht,gp,8,0.45,0.4193548387096774
e2_uci,yacht,gp,8,0.5,0.4516129032258064
e2_uci,yacht,gp,8,0.55,0.4838709677419355
e2_uci,yacht,gp,8,0.6000000000000001,0.5161290322580645
e2_uci,yacht,gp,8,0.6500000000000001,0.6129032258064516
e2_uci,yacht,gp,8,0.7000000000000001,0.6451612903225806
e2_uci,yacht,gp,8,0.7500000000000001,0.7096774193548387
e2_uci,yacht,gp,8,0.8,0.7419354838709677
e2_uci,yacht,gp,8,0.8500000000000001,0.8064516129032258
e2_uci,yacht,gp,8,0.9000000000000001,0.8387096774193549
e2_uci,yacht,gp,8,0.95,0.935483870967742
e2_uci,yacht,gp,9,0.05,0.0
e2_uci,yacht,gp,9,0.1,0.0
e2_uci,yacht,gp,9,0.15,0.032258064516129
e2_uci,yacht,gp,9,0.2,0.1290322580645161
e2_uci,yacht,gp,9,0.25,0.1612903225806451
e2_uci,yacht,gp,9,0.3,0.2258064516129032
e2_uci,yacht,gp,9,0.35,0.2580645161290322
e2_uci,yacht,gp,9,0.4,0.2903225806451613
e2_uci,yacht,gp,9,0.45,0.3548387096774194
e2_uci,yacht,gp,9,0.5,0.3548387096774194
e2_uci,yacht,gp,9,0.55,0.4516129032258064
e2_uci,yacht,gp,9,0.6000000000000001,0.5161290322580645
e2_uci,yacht,gp,9,0.6500000000000001,0.5806451612903226
e2_uci,yacht,gp,9,0.7000000000000001,0.6129032258064516
e2_uci,yacht,gp,9,0.7500000000000001,0.7419354838709677
e2_uci,yacht,gp,9,0.8,0.8064516129032258
e2_uci,yacht,gp,9,0.8500000000000001,0.8387096774193549
e2_uci,yacht,gp,9,0.9000000000000001,0.935483870967742
e2_uci,yacht,gp,9,0.95,0.967741935483871
e2_uci,yacht,gp,10,0.05,0.0967741935483871
e2_uci,yacht,gp,10,0.1,0.1612903225806451
e2_uci,yacht,gp,10,0.15,0.3225806451612903
e2_uci,yacht,gp,10,0.2,0.4193548387096774
e2_uci,yacht,gp,10,0.25,0.4516129032258064
e2_uci,yacht,gp,10,0.3,0.4838709677419355
e2_uci,yacht,gp,10,0.35,0.5161290322580645
e2_uci,yacht,gp,10,0.4,0.5483870967741935
e2_uci,yacht,gp,10,0.45,0.5806451612903226
e2_uci,yacht,gp,10,0.5,0.6129032258064516
e2_uci,yacht,gp,10,0.55,0.6451612903225806
e2_uci,yacht,gp,10,0.6000000000000001,0.7096774193548387
e2_uci,yacht,gp,10,0.6500000000000001,0.8064516129032258
e2_uci,yacht,gp,10,0.7000000000000001,0.8064516129032258
e2_uci,yacht,gp,10,0.7500000000000001,0.8387096774193549
e2_uci,yacht,gp,10,0.8,0.9032258064516128
e2_uci,yacht,gp,10,0.8500000000000001,0.9032258064516128
e2_uci,yacht,gp,10,0.9000000000000001,0.9032258064516128
e2_uci,yacht,gp,10,0.95,0.9032258064516128
e2_uci,yacht,gp,11,0.05,0.0
e2_uci,yacht,gp,11,0.1,0.032258064516129
e2_uci,yacht,gp,11,0.15,0.0967741935483871
e2_uci,yacht,gp,11,0.2,0.2903225806451613
e2_uci,yacht,gp,11,0.25,0.3548387096774194
e2_uci,yacht,gp,11,0.3,0.4516129032258064
e2_uci,yacht,gp,11,0.35,0.4838709677419355
e2_uci,yacht,gp,11,0.4,0.5806451612903226
e2_uci,yacht,gp,11,0.45,0.6451612903225806
e2_uci,yacht,gp,11,0.5,0.6774193548387096
e2_uci,yacht,gp,11,0.55,0.7096774193548387
e2_uci,yacht,gp,11,0.6000000000000001,0.7096774193548387
e2_uci,yacht,gp,11,0.6500000000000001,0.8064516129032258
e2_uci,yacht,gp,11,0.7000000000000001,0.8064516129032258
e2_uci,yacht,gp,11,0.7500000000000001,0.8387096774193549
e2_uci,yacht,gp,11,0.8,0.8387096774193549
e2_uci,yacht,gp,11,0.8500000000000001,0.9032258064516128
e2_uci,yacht,gp,11,0.9000000000000001,0.9032258064516128
e2_uci,yacht,gp,11,0.95,0.9032258064516128
e2_uci,yacht,gp,12,0.05,0.032258064516129
e2_uci,yacht,gp,12,0.1,0.032258064516129
e2_uci,yacht,gp,12,0.15,0.064516129032258
e2_uci,yacht,gp,12,0.2,0.1290322580645161
e2_uci,yacht,gp,12,0.25,0.2258064516129032
e2_uci,yacht,gp,12,0.3,0.2258064516129032
e2_uci,yacht,gp,12,0.35,0.3548387096774194
e2_uci,yacht,gp,12,0.4,0.3870967741935484
e2_uci,yacht,gp,12,0.45,0.4516129032258064
e2_uci,yacht,gp,12,0.5,0.4838709677419355
e2_uci,yacht,gp,12,0.55,0.5483870967741935
e2_uci,yacht,gp,12,0.6000000000000001,0.7096774193548387
e2_uci,yacht,gp,12,0.6500000000000001,0.7741935483870968
e2_uci,yacht,gp,12,0.7000000000000001,0.7741935483870968
e2_uci,yacht,gp,12,0.7500000000000001,0.8387096774193549
e2_uci,yacht,gp,12,0.8,0.9032258064516128
e2_uci,yacht,gp,12,0.8500000000000001,0.935483870967742
e2_uci,yacht,gp,12,0.9000000000000001,0.935483870967742
e2_uci,yacht,gp,12,0.95,0.967741935483871
e2_uci,yacht,gp,13,0.05,0.0967741935483871
e2_uci,yacht,gp,13,0.1,0.1612903225806451
e2_uci,yacht,gp,13,0.15,0.1935483870967742
e2_uci,yacht,gp,13,0.2,0.1935483870967742
e2_uci,yacht,gp,13,0.25,0.2580645161290322
e2_uci,yacht,gp,13,0.3,0.3548387096774194
e2_uci,yacht,gp,13,0.35,0.3870967741935484
e2_uci,yacht,gp,13,0.4,0.4193548387096774
e2_uci,yacht,gp,13,0.45,0.4516129032258064
e2_uci,yacht,gp,13,0.5,0.4516129032258064
e2_uci,yacht,gp,13,0.55,0.4838709677419355
e2_uci,yacht,gp,13,0.6000000000000001,0.5483870967741935
e2_uci,yacht,gp,13,0.6500000000000001,0.6129032258064516
e2_uci,yacht,gp,13,0.7000000000000001,0.6129032258064516
e2_uci,yacht,gp,13,0.7500000000000001,0.6129032258064516
e2_uci,yacht,gp,13,0.8,0.6451612903225806
e2_uci,yacht,gp,13,0.8500000000000001,0.7419354838709677
e2_uci,yacht,gp,13,0.9000000000000001,0.7419354838709677
e2_uci,yacht,gp,13,0.95,0.8064516129032258
e2_uci,yacht,gp,14,0.05,0.0967741935483871
e2_uci,yacht,gp,14,0.1,0.1612903225806451
e2_uci,yacht,gp,14,0.15,0.2580645161290322
e2_uci,yacht,gp,14,0.2,0.3548387096774194
e2_uci,yacht,gp,14,0.25,0.3548387096774194
e2_uci,yacht,gp,14,0.3,0.3548387096774194
e2_uci,yacht,gp,14,0.35,0.3870967741935484
e2_uci,yacht,gp,14,0.4,0.3870967741935484
e2_uci,yacht,gp,14,0.45,0.4193548387096774
e2_uci,yacht,gp,14,0.5,0.4838709677419355
e2_uci,yacht,gp,14,0.55,0.5483870967741935
e2_uci,yacht,gp,14,0.6000000000000001,0.5483870967741935
e2_uci,yacht,gp,14,0.6500000000000001,0.6129032258064516
e2_uci,yacht,gp,14,0.7000000000000001,0.6451612903225806
e2_uci,yacht,gp,14,0.7500000000000001,0.7096774193548387
e2_uci,yacht,gp,14,0.8,0.7741935483870968
e2_uci,yacht,gp,14,0.8500000000000001,0.8387096774193549
e2_uci,yacht,gp,14,0.9000000000000001,0.8709677419354839
e2_uci,yacht,gp,14,0.95,0.9032258064516128
e2_uci,yacht,gp,15,0.05,0.032258064516129
e2_uci,yacht,gp,15,0.1,0.064516129032258
e2_uci,yacht,gp,15,0.15,0.1290322580645161
e2_uci,yacht,gp,15,0.2,0.1612903225806451
e2_uci,yacht,gp,15,0.25,0.1935483870967742
e2_uci,yacht,gp,15,0.3,0.2903225806451613
e2_uci,yacht,gp,15,0.35,0.3870967741935484
e2_uci,yacht,gp,15,0.4,0.4193548387096774
e2_uci,yacht,gp,15,0.45,0.5483870967741935
e2_uci,yacht,gp,15,0.5,0.6129032258064516
e2_uci,yacht,gp,15,0.55,0.6451612903225806
e2_uci,yacht,gp,15,0.6000000000000001,0.7096774193548387
e2_uci,yacht,gp,15,0.6500000000000001,0.7419354838709677
e2_uci,yacht,gp,15,0.7000000000000001,0.8387096774193549
e2_uci,yacht,gp,15,0.7500000000000001,0.8387096774193549
e2_uci,yacht,gp,15,0.8,0.8709677419354839
e2_uci,yacht,gp,15,0.8500000000000001,0.935483870967742
e2_uci,yacht,gp,15,0.9000000000000001,0.935483870967742
e2_uci,yacht,gp,15,0.95,1.0
e2_uci,yacht,gp,16,0.05,0.032258064516129
e2_uci,yacht,gp,16,0.1,0.064516129032258
e2_uci,yacht,gp,16,0.15,0.1290322580645161
e2_uci,yacht,gp,16,0.2,0.1612903225806451
e2_uci,yacht,gp,16,0.25,0.1935483870967742
e2_uci,yacht,gp,16,0.3,0.2580645161290322
e2_uci,yacht,gp,16,0.35,0.3225806451612903
e2_uci,yacht,gp,16,0.4,0.3870967741935484
e2_uci,yacht,gp,16,0.45,0.4193548387096774
e2_uci,yacht,gp,16,0.5,0.5483870967741935
e2_uci,yacht,gp,16,0.55,0.5806451612903226
e2_uci,yacht,gp,16,0.6000000000000001,0.6774193548387096
e2_uci,yacht,gp,16,0.6500000000000001,0.7096774193548387
e2_uci,yacht,gp,16,0.7000000000000001,0.8064516129032258
e2_uci,yacht,gp,16,0.7500000000000001,0.8387096774193549
e2_uci,yacht,gp,16,0.8,0.8387096774193549
e2_uci,yacht,gp,16,0.8500000000000001,0.935483870967742
e2_uci,yacht,gp,16,0.9000000000000001,0.935483870967742
e2_uci,yacht,gp,16,0.95,0.967741935483871
e2_uci,yacht,gp,17,0.05,0.032258064516129
e2_uci,yacht,gp,17,0.1,0.032258064516129
e2_uci,yacht,gp,17,0.15,0.032258064516129
e2_uci,yacht,gp,17,0.2,0.1290322580645161
e2_uci,yacht,gp,17,0.25,0.1935483870967742
e2_uci,yacht,gp,17,0.3,0.3225806451612903
e2_uci,yacht,gp,17,0.35,0.3870967741935484
e2_uci,yacht,gp,17,0.4,0.5161290322580645
e2_uci,yacht,gp,17,0.45,0.5161290322580645
e2_uci,yacht,gp,17,0.5,0.5483870967741935
e2_uci,yacht,gp,17,0.55,0.5806451612903226
e2_uci,yacht,gp,17,0.6000000000000001,0.6129032258064516
e2_uci,yacht,gp,17,0.6500000000000001,0.6129032258064516
e2_uci,yacht,gp,17,0.7000000000000001,0.7419354838709677
e2_uci,yacht,gp,17,0.7500000000000001,0.9032258064516128
e2_uci,yacht,gp,17,0.8,0.9032258064516128
e2_uci,yacht,gp,17,0.8500000000000001,0.9032258064516128
e2_uci,yacht,gp,17,0.9000000000000001,0.9032258064516128
e2_uci,yacht,gp,17,0.95,0.967741935483871
e2_uci,yacht,gp,18,0.05,0.032258064516129
e2_uci,yacht,gp,18,0.1,0.1290322580645161
e2_uci,yacht,gp,18,0.15,0.1290322580645161
e2_uci,yacht,gp,18,0.2,0.1290322580645161
e2_uci,yacht,gp,18,0.25,0.1612903225806451
e2_uci,yacht,gp,18,0.3,0.1935483870967742
e2_uci,yacht,gp,18,0.35,0.3225806451612903
e2_uci,yacht,gp,18,0.4,0.3225806451612903
e2_uci,yacht,gp,18,0.45,0.4193548387096774
e2_uci,yacht,gp,18,0.5,0.4516129032258064
e2_uci,yacht,gp,18,0.55,0.4838709677419355
e2_uci,yacht,gp,18,0.6000000000000001,0.5161290322580645
e2_uci,yacht,gp,18,0.6500000000000001,0.5806451612903226
e2_uci,yacht,gp,18,0.7000000000000001,0.6774193548387096
e2_uci,yacht,gp,18,0.7500000000000001,0.6774193548387096
e2_uci,yacht,gp,18,0.8,0.7741935483870968
e2_uci,yacht,gp,18,0.8500000000000001,0.8387096774193549
e2_uci,yacht,gp,18,0.9000000000000001,0.8709677419354839
e2_uci,yacht,gp,18,0.95,0.9032258064516128
e2_uci,yacht,gp,19,0.05,0.0967741935483871
e2_uci,yacht,gp,19,0.1,0.0967741935483871
e2_uci,yacht,gp,19,0.15,0.0967741935483871
e2_uci,yacht,gp,19,0.2,0.1612903225806451
e2_uci,yacht,gp,19,0.25,0.2258064516129032
e2_uci,yacht,gp,19,0.3,0.4193548387096774
e2_uci,yacht,gp,19,0.35,0.4193548387096774
e2_uci,yacht,gp,19,0.4,0.5161290322580645
e2_uci,yacht,gp,19,0.45,0.5806451612903226
e2_uci,yacht,gp,19,0.5,0.6129032258064516
e2_uci,yacht,gp,19,0.55,0.6129032258064516
e2_uci,yacht,gp,19,0.6000000000000001,0.6451612903225806
e2_uci,yacht,gp,19,0.6500000000000001,0.6451612903225806
e2_uci,yacht,gp,19,0.7000000000000001,0.7741935483870968
e2_uci,yacht,gp,19,0.7500000000000001,0.8064516129032258
e2_uci,yacht,gp,19,0.8,0.8387096774193549
e2_uci,yacht,gp,19,0.8500000000000001,0.8709677419354839
e2_uci,yacht,gp,19,0.9000000000000001,0.9032258064516128
e2_uci,yacht,gp,19,0.95,0.967741935483871
e2_uci,energy,gp,0,0.05,0.0389610389610389
e2_uci,energy,gp,0,0.1,0.0779220779220779
